,TA2ID,English,3D,label,Def
1492,1418.0,Interosseous border of tibia, x, x, x
1493,1419.0,Lateral surface of tibia, x, x, x
1494,1420.0,Anterior border of tibia, x, x, x
1495,1421.0,Medial malleolus, x, x, x
1496,1422.0,Malleolar groove of tibia, x, x, x
1497,1423.0,Articular facet of medial malleolus, x, x, x
1498,1424.0,Posterior malleolus, x, x, x
1499,1425.0,Fibular notch, x, x, x
1500,1426.0,Inferior articular surface of tibia, x, x, x
1501,1427.0,Fibula, x,, x
1502,1428.0,Head of fibula, x, x, x
1503,1429.0,Articular facet of head of fibula, x, x, x
1504,1430.0,Apex of head of fibula, x, x, x
1505,1431.0,Neck of fibula, x, x, x
1506,1432.0,Body of fibula, x, x, x
1507,1433.0,Lateral surface of fibula, x, x, x
1508,1434.0,Anterior border of fibula, x, x, x
1509,1435.0,Medial surface of fibula, x, x, x
1510,1436.0,Anteromedial surface of fibula, x, x, x
1511,1437.0,Interosseous crest of fibula, x, x, x
1512,1438.0,Posteromedial surface of fibula, x, x, x
1513,1439.0,Medial border of fibula, x, x, x
1514,1440.0,Posterior surface of fibula, x, x, x
1515,1441.0,Posterior border of fibula, x, x, x
1516,1442.0,Lateral malleolus, x, x, x
1517,1443.0,Articular facet of lateral malleolus, x, x, x
1518,1444.0,Malleolar fossa, x, x, x
1519,1445.0,Malleolar groove of fibula, x, x, x
1520,1446.0,Bones of foot, x, x, x
1521,1447.0,Tarsal bones, x, x, x
1522,1448.0,Talus, x,, x
1523,1449.0,Head of talus, x, x, x
1524,1450.0,Navicular articular surface, x, x, x
1525,1451.0,Facet for plantar calcaneonavicular ligament, x, x, x
1526,1452.0,Facet for calcaneonavicular part of bifurcate ligament, x, x, x
1527,1453.0,Anterior facet for calcaneus,,,
1528,1454.0,Neck of talus, x, x, x
1529,1455.0,Middle facet for calcaneus, x, x, x
1530,1456.0,Talar sulcus, x, x, x
1531,1457.0,Body of talus, x, x, x
1532,1458.0,Trochlea of talus, x, x, x
1533,1459.0,Superior facet of talus, x, x, x
1534,1460.0,Lateral malleolar facet, x, x, x
1535,1461.0,Lateral process of talus, x, x, x
1536,1462.0,Medial malleolar facet, x, x, x
1537,1463.0,Posterior process of talus, x, x, x
1538,1464.0,Groove for tendon of flexor hallucis longus of talus, x, x,
1539,1465.0,Lateral tubercle, x, x, x
1540,1466.0,Medial tubercle, x, x, x
1541,1467.0,Posterior calcaneal articular facet, x, x, x
1542,1468.0,Calcaneus, x,, x
1543,1469.0,Calcaneal tuberosity, x, x, x
1544,1470.0,Medial process of calcaneal tuberosity, x, x, x
1545,1471.0,Lateral process of calcaneal tuberosity, x, x, x
1546,1472.0,Calcaneal tubercle, x, x, x
1547,1473.0,Sustentaculum tali, x, x, x
1548,1474.0,Groove for tendon of flexor hallucis longus of calcaneus, x, x, x
1549,1475.0,Calcaneal sulcus, x, x, x
1550,1476.0,Tarsal sinus, x, x, x
1551,1477.0,Anterior talar articular surface,,,
1552,1478.0,Middle talar articular surface,,,
1553,1479.0,Posterior talar articular surface,,,
1554,1480.0,Groove for tendon of fibularis longus muscle of calcaneus,,,
1555,1481.0,Fibular trochlea,,,
1556,1482.0,Articular surface for cuboid, x, x, x
1557,1483.0,Anterior process of calcaneus, x, x, x
1558,1484.0,Navicular bone, x,, x
1559,1485.0,Tuberosity of navicular bone, x, x, x
1560,1486.0,Medial cuneiform bone, x,, x
1561,1487.0,Intermediate cuneiform bone, x,, x
1562,1488.0,Lateral cuneiform bone, x,, x
1563,1489.0,Cuboid bone, x,, x
1564,1490.0,Groove for tendon of fibularis longus muscle of cuboid bone, x, x, x
1565,1491.0,Tuberosity of cuboid bone, x, x,
1566,1492.0,Calcaneal process,,,
1567,1493.0,Accessory tarsal bones,,,
1568,1494.0,(Os trigonum),,,
1569,1495.0,Metatarsal bones, x, x, x
1570,1496.0,Metatarsal bone,,,
1571,1497.0,Base of metatarsal bone, x, x, x
1572,1498.0,Body of metatarsal bone, x, x, x
1573,1499.0,Head of metatarsal bone, x, x, x
1574,1500.0,First metatarsal bone, x, x, x
1575,1501.0,Tuberosity of first metatarsal bone,,,
1576,1496.0,Second metatarsal bone, x,, x
1577,1496.0,Third metatarsal bone, x,, x
1578,1496.0,Fourth metatarsal bone, x,, x
1579,1502.0,Fifth metatarsal bone, x, x, x
1580,1503.0,Tuberosity of fifth metatarsal bone,,,
1581,1504.0,Phalanges of foot, x, x, x
1582,1505.0,Phalanx of foot,,,
1583,1506.0,Base of phalanx of foot, x, x, x
1584,1507.0,Body of phalanx of foot, x, x, x
1585,1508.0,Head of phalanx of foot, x, x, x
1586,1509.0,Trochlea of phalanx of foot, x, x, x
1587,1510.0,Proximal phalanx of foot,,,
1588,1510.0,Proximal phalanx of first finger of foot, x,, x
1589,1510.0,Proximal phalanx of second finger of foot, x,, x
1590,1510.0,Proximal phalanx of third finger of foot, x,, x
1591,1510.0,Proximal phalanx of fourth finger of foot, x,, x
1592,1510.0,Proximal phalanx of fifth finger of foot, x,, x
1593,1511.0,Middle phalanx of foot,,,
1594,1511.0,Middle phalanx of second finger of foot, x,, x
1595,1511.0,Middle phalanx of third finger of foot, x,, x
1596,1511.0,Middle phalanx of fourth finger of foot, x,, x
1597,1511.0,Middle phalanx of fifth finger of foot, x,, x
1598,1512.0,Distal phalanx of foot,,,
1599,1512.0,Distal phalanx of first finger of foot, x,, x
1600,1512.0,Distal phalanx of second finger of foot, x,, x
1601,1512.0,Distal phalanx of third finger of foot, x,, x
1602,1512.0,Distal phalanx of fourth finger of foot, x,, x
1603,1512.0,Distal phalanx of fifth finger of foot, x,, x
1604,1513.0,Tuberosity of distal phalanx of foot, x, x, x
1605,1514.0,Sesamoid bones of foot, x,, x
1606,1515.0,Joints,, x, x
1607,1516.0,Joint,,,
1608,1517.0,Fibrous joints, x, x, x
1609,1518.0,Syndesmoses, x, x, x
1610,1519.0,Interosseous ligament, x, x,
1611,1520.0,Interosseous membrane, x, x,
1612,1521.0,Gomphosis, x, x, x
1613,1522.0,Sutures, x, x, x
1614,1523.0,Plane suture, x, x, x
1615,1524.0,Limbous suture, x, x, x
1616,1525.0,Serrate suture, x, x, x
1617,1526.0,Denticulate suture, x, x, x
1618,1527.0,Schindylesis, x, x, x
1619,1528.0,Cartilaginous joints,, x, x
1620,1529.0,Synchondroses, x, x, x
1621,1530.0,Epiphysial cartilage (part of joints),,,
1622,1531.0,Symphysis, x, x, x
1623,1532.0,Synostosis, x, x, x
1624,1533.0,Synovial joint, x, x, x
1625,1534.0,Articular cavity,, x, x
1626,1535.0,Synovial fluid,,, x
1627,1536.0,Articular capsule,, x, x
1628,1537.0,Fibrous layer of articular capsule,,,
1629,1538.0,Synovial membrane of articular capsule,,,
1630,1539.0,Synovial fold,,,
1631,1540.0,Synovial villus,,,
1632,1541.0,Articular fibrocartilage,, x, x
1633,1542.0,Articular labrum,,,
1634,1543.0,Articular disc,,,
1635,1544.0,Meniscus,,,
1636,1545.0,Accessory ligaments,, x,
1637,1546.0,Intracapsular ligament,,,
1638,1547.0,Capsular ligament,,,
1639,1548.0,Extracapsular ligament,,,
1640,1549.0,Articular recess,, x, x
1641,1550.0,Synarthrosis,, x, x
1642,1551.0,Amphiarthrosis,, x, x
1643,1552.0,Diarthrosis,, x, x
1644,1553.0,Simple joint,, x, x
1645,1554.0,Complex joint,, x, x
1646,1555.0,Plane joint,, x, x
1647,1556.0,Cylindrical joints,, x,
1648,1557.0,Pivot joint,,,
1649,1558.0,Hinge joint,,,
1650,1559.0,Bicondylar joint,, x, x
1651,1560.0,Saddle joint,, x, x
1652,1561.0,Ellipsoid joint,, x, x
1653,1562.0,Ball and socket joint,, x, x
1654,1563.0,Joints of skull, x, x, x
1655,1564.0,Cranial fibrous joints,, x, x
1656,1565.0,Cranial syndesmoses,, x, x
1657,1566.0,Pterygospinous ligament, x,, x
1658,1567.0,Stylohyoid ligament, x,, x
1659,1568.0,Sphenomandibular ligament, x,, x
1660,1569.0,Stylomandibular ligament, x,, x
1661,1570.0,Ligaments of auricle,,,
1662,1571.0,Anterior ligament of auricle,,,
1663,1572.0,Superior ligament of auricle,,,
1664,1573.0,Posterior ligament of auricle,,,
1665,1574.0,Cranial sutures,,,
1666,1575.0,Coronal suture,,,
1667,1576.0,Sagittal suture,,,
1668,1577.0,Lambdoid suture,,,
1669,1578.0,Occipitomastoid suture,,,
1670,1579.0,(Accessory occipital suture),,,
1671,1580.0,Sphenofrontal suture,,,
1672,1581.0,Spheno-ethmoidal suture,,,
1673,1582.0,Sphenosquamous suture,,,
1674,1583.0,Sphenoparietal suture,,,
1675,1584.0,Squamous suture,,,
1676,1585.0,(Frontal suture),,,
1677,1586.0,Parietomastoid suture,,,
1678,1587.0,(Squamomastoid suture),,,
1679,1588.0,Frontonasal suture,,,
1680,1589.0,Fronto-ethmoidal suture,,,
1681,1590.0,Frontomaxillary suture,,,
1682,1591.0,Frontolacrimal suture,,,
1683,1592.0,Frontozygomatic suture,,,
1684,1593.0,Zygomaticomaxillary suture,,,
1685,1594.0,Ethmoidomaxillary suture,,,
1686,1595.0,Ethmoidolacrimal suture,,,
1687,1596.0,Sphenovomerine suture,,,
1688,1597.0,Sphenozygomatic suture,,,
1689,1598.0,Sphenomaxillary suture,,,
1690,1599.0,Temporozygomatic suture,,,
1691,1600.0,Internasal suture,,,
1692,1601.0,Nasomaxillary suture,,,
1693,1602.0,Lacrimomaxillary suture,,,
1694,1603.0,Lacrimoconchal suture,,,
1695,1604.0,Intermaxillary suture,,,
1696,1605.0,(Incisive suture),,,
1697,1606.0,Palatomaxillary suture,,,
1698,1607.0,Palato-ethmoidal suture,,,
1699,1608.0,Median palatine suture,,,
1700,1609.0,Transverse palatine suture,,,
1701,1610.0,Dento-alveolar syndesmosis,,,
1702,1611.0,Periodontal ligament,,,
1703,1612.0,Cement,,,
1704,1613.0,Cranial cartilaginous joints,,,
1705,1614.0,Cranial synchondroses,,,
1706,1615.0,Spheno-occipital synchondrosis,,,
1707,1616.0,Sphenopetrosal synchondrosis,,,
1708,1617.0,Petro-occipital synchondrosis,,,
1709,1618.0,(Posterior intra-occipital synchondrosis),,,
1710,1619.0,(Anterior intra-occipital synchondrosis),,,
1711,1620.0,Spheno-ethmoidal synchondrosis,,,
1712,1621.0,Cranial synovial joints,,,
1713,1622.0,Temporomandibular joint, x, x, x
1714,1623.0,Articular disc of temporomandibular joint, x,, x
1715,1624.0,Lateral temporomandibular ligament, x,, x
1716,1625.0,Medial temporomandibular ligament,,,
1717,1626.0,Superior synovial membrane of temporomandibular joint,,,
1718,1627.0,Inferior synovial membrane of temporomandibular joint,,,
1719,1628.0,Superior cavity of temporomandibular joint,,,
1720,1629.0,Inferior cavity of temporomandibular joint,,,
1721,1630.0,Atlanto-occipital joint,,,
1722,1631.0,Anterior atlanto-occipital membrane,,,
1723,1632.0,(Anterior atlanto-occipital ligament),,, x
1724,1633.0,Posterior atlanto-occipital membrane,,,
1725,1634.0,Lateral atlanto-occipital ligament,,,
1726,1635.0,Joints of auditory ossicles (part of skeletal system),,,
1727,1636.0,Fibrous joints of auditory assicles,,,
1728,1637.0,Tympanostapedial syndesmosis,,,
1729,1638.0,Ligaments of auditory ossicles,,,
1730,1639.0,Anterior ligament of malleus,,,
1731,1640.0,Superior ligament of malleus,,,
1732,1641.0,Lateral ligament of malleus,,,
1733,1642.0,Superior ligament of incus,,,
1734,1643.0,Posterior ligament of incus,,,
1735,1644.0,Stapedial membrane,,,
1736,1645.0,Annular ligament of stapes,,,
1737,1646.0,Articulations of auditory ossicles,,,
1738,1647.0,Incudomallear joint,,,
1739,1648.0,Incudostapedial joint,,,
1740,1649.0,Laryngeal joints, x, x,
1741,1650.0,Fibrous joints of larynx, x, x, x
1742,1651.0,Thyrohyoid membrane, x, x, x
1743,1652.0,Median thyrohyoid ligament, x,, x
1744,1653.0,Lateral thyrohyoid ligament, x,, x
1745,1654.0,Ligaments of epiglottis, x, x, x
1746,1655.0,Thyro-epiglottic ligament,,,
1747,1656.0,Hyo-epiglottic ligament,,,
1748,1657.0,Fibro-elastic membrane of larynx, x, x, x
1749,1658.0,Quadrangular membrane, x,, x
1750,1659.0,Vestibular ligament,,,
1751,1660.0,Conus elasticus,,,
1752,1661.0,Vocal ligament,,,
1753,1662.0,Median cricothyroid ligament, x,, x
1754,1663.0,Cricotracheal ligament,,,
1755,1664.0,Synovial joints of larynx, x, x, x
1756,1665.0,Cricothyroid joint, x, x, x
1757,1666.0,Ceratocricoid ligament,,,
1758,1667.0,Crico-arytenoid joint, x, x,
1759,1668.0,Crico-arytenoid ligament,,,
1760,1669.0,Cricopharyngeal ligament, x,, x
1761,1670.0,Joints of vertebral column, x, x, x
1762,1671.0,Fibrous joints of vertebral column,, x, x
1763,1672.0,Anterior atlantoaxial membrane,,,
1764,1673.0,Posterior atlantoaxial membrane,,,
1765,1674.0,Interspinous ligaments, x,, x
1766,1675.0,Ligamenta flava, x,, x
1767,1676.0,Intertransverse ligaments, x,, x
1768,1677.0,Supraspinous ligament, x,, x
1769,1678.0,Nuchal ligament, x,, x
1770,1679.0,Anterior longitudinal ligament, x,, x
1771,1680.0,Posterior longitudinal ligament, x,, x
1772,1681.0,Intercornual ligament, x,, x
1773,1682.0,Cartilaginous joints of vertebral column,, x, x
1774,1683.0,Intervertebral symphysis, x, x, x
1775,1684.0,Intervertebral disc,,,
1776,1685.0,Anulus fibrosus,,,
1777,1686.0,Nucleus pulposus,,,
1778,1687.0,Lumbosacral symphysis, x, x, x
1779,1688.0,Sacrococcygeal joint, x, x, x
1780,1689.0,Superficial posterior sacrococcygeal ligament,,,
1781,1690.0,Deep posterior sacrococcygeal ligament,,,
1782,1691.0,Anterior sacrococcygeal ligament,,,
1783,1692.0,Lateral sacrococcygeal ligament,,,
1784,1693.0,Synovial joints of vertebral column,, x,
1785,1694.0,Median atlanto-axial joint, x, x, x
1786,1695.0,Alar ligaments,,,
1787,1696.0,(Transverse occipital ligament),,,
1788,1697.0,Apical ligament of dens,,,
1789,1698.0,Anterior atlantodental ligament,,,
1790,1699.0,Cruciform ligament,,,
1791,1700.0,Longitudinal bands of cruciform ligament,,,
1792,1701.0,Superior longitudinal band of cruciform ligament,,,
1793,1702.0,Inferior longitudinal band of cruciform ligament,,,
1794,1703.0,Transverse ligament of atlas,,,
1795,1704.0,Tectorial membrane of cervical vertebral column,,,
1796,1705.0,Lateral atlanto-axial joint, x, x, x
1797,1706.0,Uncovertebral joints, x, x, x
1798,1707.0,Zygapophysial joints, x, x, x
1799,1708.0,Thoracic joints, x, x, x
1800,1709.0,Fibrous joints of thorax, x, x, x
1801,1710.0,External intercostal membrane, x,, x
1802,1711.0,Internal intercostal membrane, x,, x
1803,1712.0,Cartilaginous joints of thorax,, x, x
1804,1713.0,Sternochondral synchondrosis of first rib, x, x, x
1805,1714.0,Costochondral joints, x, x, x
1806,1715.0,Cartilaginous joints of sternum, x, x, x
1807,1716.0,Xiphisternal joint,,,
1808,1717.0,Manubriosternal joint,,,
1809,1718.0,(Manubriosternal synchondrosis),,,
1810,1719.0,Synovial joints of thorax, x, x, x
1811,1720.0,Costovertebral joints,, x, x
1812,1721.0,Joint of head of rib,, x, x
1813,1722.0,Radiate ligament of head of rib, x,, x
1814,1723.0,Intra-articular ligament of head of rib, x,, x
1815,1724.0,Costotransverse joint,, x, x
1816,1725.0,Costotransverse ligament, x,, x
1817,1726.0,Superior costotransverse ligament,,,
1818,1727.0,Lateral costotransverse ligament,,,
1819,1728.0,Lumbocostal ligament,,,
1820,1729.0,Costotransverse foramen,,,
1821,1730.0,Sternochondral joints,, x, x
1822,1731.0,Intra-articular sternochondral ligament,,,
1823,1732.0,Radiate sternochondral ligament,,,
1824,1733.0,Sternal membrane,,,
1825,1734.0,Xiphichondral ligaments,,,
1826,1735.0,Interchondral joints,, x, x
1827,1736.0,Interchondral ligaments,,,
1828,1737.0,Joints of upper limb, x, x, x
1829,1738.0,Joints of pectoral girdle, x, x, x
1830,1739.0,Fibrous joints of pectoral girdle,, x, x
1831,1740.0,Coraco-acromial ligament, x,, x
1832,1741.0,Superior transverse scapular ligament, x,, x
1833,1742.0,Inferior transverse scapular ligament, x,,
1834,1743.0,Synovial joints of pectoral girdle,, x, x
1835,1744.0,Acromioclavicular joint,, x, x
1836,1745.0,Acromioclavicular ligament, x,, x
1837,1746.0,Articular disc of acromioclavicular joint, x,, x
1838,1747.0,Coracoclavicular ligament,,,
1839,1748.0,Trapezoid ligament, x,, x
1840,1749.0,Conoid ligament, x,, x
1841,1750.0,Sternoclavicular joint,, x, x
1842,1751.0,Articular disc of sternoclavicular joint, x,, x
1843,1752.0,Medial cavity of sternoclavicular joint,,,
1844,1753.0,Lateral cavity of sternoclavicular joint,,,
1845,1754.0,Anterior sternoclavicular ligament, x,, x
1846,1755.0,Posterior sternoclavicular ligament, x,, x
1847,1756.0,Costoclavicular ligament, x,, x
1848,1757.0,Interclavicular ligament, x,, x
1849,1758.0,Joints of free upper limb, x, x, x
1850,1759.0,Fibrous joints of free upper limb, x, x, x
1851,1760.0,Radio-ulnar syndesmoses, x, x,
1852,1761.0,Interosseous membrane of forearm, x,, x
1853,1762.0,Oblique cord, x,, x
1854,1763.0,Synovial joints of free upper limb, x, x, x
1855,1764.0,Glenohumeral joint,, x, x
1856,1765.0,Glenoid labrum, x,, x
1857,1766.0,Glenohumeral ligaments,,,
1858,1767.0,Superior glenohumeral ligament, x,, x
1859,1768.0,Middle glenohumeral ligament, x,, x
1860,1769.0,Inferior glenohumeral ligament, x,, x
1861,1770.0,Coracohumeral ligament, x,, x
1862,1771.0,Transverse humeral ligament, x,, x
1863,1772.0,Elbow joint,, x, x
1864,1772.0,Articular capsule of elbow joint, x,, x
1865,1773.0,Humero-ulnar joint,, x, x
1866,1774.0,Humeroradial joint,, x, x
1867,1775.0,Proximal radio-ulnar joint,, x, x
1868,1776.0,Ulnar collateral ligament, x,, x
1869,1777.0,Radial collateral ligament, x,, x
1870,1778.0,Annular ligament of radius, x,, x
1871,1779.0,Quadrate ligament, x,, x
1872,1780.0,Sacciform recess of elbow joint,,,
1873,1781.0,Distal radio-ulnar joint, x, x, x
1874,1782.0,Articular disc of distal radio-ulnar joint, x,, x
1875,1783.0,Sacciform recess of distal radio-ulnar joint,,,
1876,1784.0,Dorsal radio-ulnar ligament, x,, x
1877,1785.0,Palmar radio-ulnar ligament, x,, x
1878,1786.0,Radiocarpal joint, x, x,
1879,1786.0,Articular capsule of radiocarpal joint, x,, x
1880,1787.0,Dorsal radiocarpal ligament, x,, x
1881,1788.0,Palmar radiocarpal ligament,,,
1882,1789.0,Radioscaphocapitate ligament, x,, x
1883,1790.0,Radiocapitate ligament, x,,
1884,1791.0,Long radiolunate ligament,,,
1885,1792.0,Short radiolunate ligament,,,
1886,1793.0,Radioscapholunate ligament,,,
1887,1794.0,Dorsal ulnocarpal ligament, x,, x
1888,1795.0,Palmar ulnocarpal ligament,,, x
1889,1796.0,Ulnocapitate ligament, x,, x
1890,1797.0,Ulnolunate ligament, x,, x
1891,1798.0,Ulnotriquetral ligament, x,, x
1892,1799.0,Ulnopisiform ligament, x,, x
1893,1800.0,Ulnar collateral ligament of wrist joint, x,, x
1894,1801.0,Radial collateral ligament of wrist joint, x,, x
1895,1802.0,Joints of hand, x, x, x
1896,1803.0,Intercarpal joints,, x, x
1897,1804.0,Midcarpal joint,,, x
1898,1805.0,Radiate carpal ligament, x,, x
1899,1806.0,Dorsal intercarpal ligaments, x,, x
1900,1807.0,Dorsal scaphotriquetral ligament, x,,
1901,1808.0,Palmar intercarpal ligaments,,, x
1902,1809.0,Scaphotrapeziotrapezoidal ligament, x,,
1903,1810.0,Scaphocapitate ligament, x,,
1904,1811.0,Palmar scaphotriquetral ligament, x,,
1905,1812.0,Triquetrocapitate ligament, x,,
1906,1813.0,Triquetrohamate ligament, x,,
1907,1814.0,Pisotriquetral ligament, x,,
1908,1815.0,Palmar capitohamate ligament, x,,
1909,1816.0,Palmar trapezoideocapitate ligament, x,,
1910,1817.0,Palmar lunotriquetral ligament, x,,
1911,1818.0,Interosseus intercarpal ligaments,,,
1912,1819.0,Scapholunate interosseous ligament, x,,
1913,1820.0,Trapeziotrapezoidal interosseous ligament, x,,
1914,1821.0,Capitohamate interosseous ligament, x,,
1915,1822.0,Trapezoideocapitate interosseous ligament, x,,
1916,1823.0,Lunotriquetral interosseous ligament, x,,
1917,1824.0,Pisiform joint,,,
1918,1825.0,Pisohamate ligament, x,, x
1919,1826.0,Pisometacarpal ligament, x,, x
1920,1827.0,Carpometacarpal joints,, x, x
1921,1828.0,Dorsal carpometacarpal ligaments, x,, x
1922,1829.0,Palmar carpometacarpal ligaments, x,, x
1923,1830.0,Carpometacarpal joint of thumb,,, x
1924,1831.0,Intermetacarpal joints,, x, x
1925,1832.0,Dorsal metacarpal ligaments, x,, x
1926,1833.0,Palmar metacarpal ligaments, x,, x
1927,1834.0,Interosseous metacarpal ligaments, x,, x
1928,1835.0,Metacarpophalangeal joints,, x, x
1929,1835.0,Articular capsules of metacarpophalangeal joints, x,, x
1930,1836.0,Collateral metacarpophalangeal ligaments, x,, x
1931,1837.0,Palmar metacarpophalangeal ligaments,,, x
1932,1838.0,Deep transverse metacarpal ligament, x,, x
1933,1839.0,Interphalangeal joints of hand,, x, x
1934,1840.0,Proximal interphalangeal joints of hand,,,
1935,1840.0,Articular capsules of prox. interphalangeal joints of hand,,,
1936,1841.0,Distal interphalangeal joints of hand,,,
1937,1841.0,Articular capsules of distal interphalangeal joints of hand,,,
1938,1842.0,Interphalangeal joint of thumb,,,
1939,1843.0,Collateral interphalangeal ligaments of hand, x,, x
1940,1844.0,Palmar interphalangeal ligaments, x,, x
1941,1845.0,Joints of lower limb, x, x, x
1942,1846.0,Joints of pelvic girdle, x, x, x
1943,1847.0,Fibrous joints of pelvic girdle,, x, x
1944,1848.0,Obturator membrane, x,, x
1945,1849.0,Obturator canal,,,
1946,1850.0,Sacrotuberous ligament, x,, x
1947,1851.0,Falciform process,,,
1948,1852.0,Sacrospinous ligament, x,, x
1949,1853.0,Iliolumbar ligament, x,, x
1950,1854.0,Cartilaginous joints of pelvic girdle,, x, x
1951,1855.0,Pubic symphysis, x,, x
1952,1856.0,Interpubic disc, x,, x
1953,1857.0,Superior pubic ligament, x,, x
1954,1858.0,Inferior pubic ligament, x,, x
1955,1859.0,Triradiate cartilage, x,, x
1956,1860.0,Synovial joints of pelvic girdle,, x, x
1957,1861.0,Sacro-iliac joint, x, x, x
1958,1862.0,Anterior sacro-iliac ligament, x,, x
1959,1863.0,Interosseous sacro-iliac ligament, x,, x
1960,1864.0,Posterior sacro-iliac ligament, x,, x
1961,1865.0,Joints of free lower limb, x, x,
1962,1866.0,Fibrous joints of free lower limb,, x,
1963,1867.0,Interosseous membrane of leg, x,, x
1964,1868.0,Tibiofibular syndesmosis, x, x, x
1965,1869.0,Anterior tibiofibular ligament, x,, x
1966,1870.0,Posterior tibiofibular ligament, x,, x
1967,1871.0,Transverse tibiofibular ligament, x,, x
1968,1872.0,Synovial joints of free lower limb,, x,
1969,1873.0,Hip joint, x, x, x
1970,1874.0,Zona orbicularis, x,, x
1971,1875.0,Iliofemoral ligament,,, x
1972,1876.0,Transverse part of iliofemoral ligament, x,, x
1973,1877.0,Descending part of iliofemoral ligament, x,,
1974,1878.0,Ischiofemoral ligament, x,, x
1975,1879.0,Pubofemoral ligament, x,, x
1976,1880.0,Acetabular labrum, x,, x
1977,1881.0,Transverse acetabular ligament, x,, x
1978,1882.0,Ligament of head of femur, x,, x
1979,1883.0,Knee joint, x, x, x
1980,1883.0,Articular capsule of knee joint, x,, x
1981,1884.0,Patellar part of knee joint,,,
1982,1885.0,Lateral meniscus, x,, x
1983,1886.0,Anterior meniscofemoral ligament,,, x
1984,1887.0,Posterior meniscofemoral ligament,,, x
1985,1888.0,Medial meniscus, x,, x
1986,1889.0,Transverse ligament of knee, x,, x
1987,1890.0,Anterior cruciate ligament, x,, x
1988,1891.0,Posterior cruciate ligament, x,, x
1989,1892.0,Infrapatellar synovial fold,,,
1990,1893.0,Alar folds,,,
1991,1894.0,Ligamentum mucosum,,,
1992,1895.0,Fibular collateral ligament, x,, x
1993,1896.0,Tibial collateral ligament,,,
1994,1897.0,Superficial part of tibial collateral ligament, x,, x
1995,1898.0,Deep part of tibial collateral ligament, x,, x
1996,1899.0,Oblique popliteal ligament, x,, x
1997,1900.0,Arcuate popliteal ligament, x,, x
1998,1901.0,Lateral meniscotibial ligament,,,
1999,1902.0,Medial meniscotibial ligament,,,
2000,1903.0,Medial patellofemoral ligament,,, x
2001,1904.0,Meniscopatellar ligament, x,, x
2002,1905.0,Patellotibial ligament,,,
2003,1906.0,Popliteofibular ligament, x,, x
2004,1907.0,Fabellofibular ligament,,,
2005,1908.0,Infrapatellar fat pad, x,, x
2006,1909.0,Superior tibiofibular joint, x, x, x
2007,1910.0,Anterior ligament of fibular head, x,, x
2008,1911.0,Posterior ligament of fibular head, x,, x
2009,1912.0,Ankle joint, x, x, x
2010,1913.0,Medial collateral ligament of ankle, x, x, x
2011,1914.0,Tibionavicular ligament, x,, x
2012,1915.0,Tibiocalcaneal ligament, x,, x
2013,1916.0,Anterior tibiotalar ligament,,,
2014,1917.0,Posterior tibiotalar ligament, x,,
2015,1918.0,Lateral collateral ligament of ankle, x, x, x
2016,1919.0,Anterior talofibular ligament, x,, x
2017,1920.0,Posterior talofibular ligament, x,, x
2018,1921.0,Calcaneofibular ligament, x,, x
2019,1922.0,Joints of foot, x, x, x
2020,1923.0,Intertarsal joints, x, x, x
2021,1924.0,Subtalar joint,,, x
2022,1925.0,Lateral talocalcaneal ligament, x,, x
2023,1926.0,Medial talocalcaneal ligament, x,, x
2024,1927.0,Posterior talocalcaneal ligament, x,, x
2025,1928.0,Talocalcaneal interosseous ligament, x,,
2026,1929.0,Anterior talocalcaneal ligament, x,, x
2027,1930.0,Transverse tarsal joint,,, x
2028,1931.0,Bifurcate ligament,,,
2029,1932.0,Calcaneonavicular ligament, x,, x
2030,1933.0,Calcaneocuboid ligament, x,, x
2031,1934.0,Long plantar ligament, x,, x
2032,1935.0,Talocalcaneonavicular joint,,, x
2033,1936.0,Talonavicular ligament, x,, x
2034,1937.0,Plantar calcaneonavicular ligament, x,, x
2035,1938.0,Calcaneocuboid joint,,, x
2036,1939.0,Dorsal calcaneocuboid ligament, x,, x
2037,1940.0,Plantar calcaneocuboid ligament, x,, x
2038,1941.0,Cuneonavicular joint,,, x
2039,1942.0,Dorsal cuneonavicular ligaments, x,, x
2040,1943.0,Plantar cuneonavicular ligaments, x,, x
2041,1944.0,Cuneocuboid joint,,,
2042,1945.0,Cuneocuboid interosseous ligament, x,,
2043,1946.0,Dorsal cuneocuboid ligament, x,, x
2044,1947.0,Plantar cuneocuboid ligament, x,, x
2045,1948.0,Cuboideonavicular joint,,, x
2046,1949.0,Dorsal cuboideonavicular ligament, x,, x
2047,1950.0,Plantar cuboideonavicular ligament, x,, x
2048,1951.0,Intercuneiform joints,,, x
2049,1952.0,Intercuneiform interosseous ligaments, x,,
2050,1953.0,Dorsal intercuneiform ligaments, x,, x
2051,1954.0,Plantar intercuneiform ligaments, x,, x
2052,1955.0,Tarsometatarsal joints, x, x, x
2053,1956.0,Dorsal tarsometatarsal ligaments, x,, x
2054,1957.0,Plantar tarsometatarsal ligaments, x,, x
2055,1958.0,Cuneometatarsal interosseous ligaments, x,,
2056,1959.0,Intermetatarsal joints, x, x, x
2057,1960.0,Metatarsal interosseous ligaments, x,, x
2058,1961.0,Dorsal metatarsal ligaments, x,, x
2059,1962.0,Plantar metatarsal ligaments, x,, x
2060,1963.0,Intersesamoid ligament, x,, x
